Name,Url,Authority,Started On,Finished On,License Number
MITx 12.340x: Global Warming Science,https://verify.edx.org/cert/46ef1325ec96473ebd72e828ea38e1b3,edX,May 2014,,
MITx 2.01x: Elements of Structures,https://verify.edx.org/cert/4a78d39404734421ae704abece86f766,edX,Aug 2014,,
MITx 7.00x: Introduction to Biology - The Secret of Life,https://verify.edx.org/cert/99d455b84e7445e2a7f289d3995bbfb3,edX,Sep 2014,,
MITx 3.091x: Introduction to Solid State Chemistry,https://verify.edx.org/cert/863a4066c50e432e852b701e10207b31,edX,Dec 2014,,
MITx 7.QBWx: Quantitative Biology Workshop,https://verify.edx.org/cert/94fab64798f74139909b5da2ebb4db94,edX,Mar 2015,,
UChicagoX PS280x:  Modeling Climate Change,https://s3.amazonaws.com/verify.edx.org/downloads/6bd21979b73b4b36bbe1892748f030f2/Certificate.pdf,edX,Apr 2015,,
MITx 8.05x: Mastering Quantum Mechanics,https://s3.amazonaws.com/verify.edx.org/downloads/9deb581fa3ac47639f200f70e534c292/Certificate.pdf,edX,Jun 2015,,
MITx 3.032.1x: Mechanical Behavior of Materials: Linear Elastic Behavior,https://courses.edx.org/certificates/user/2730727/course/course-v1:MITx+3.032.1x+3T2015,edX,Sep 2015,,
AST 111x: Introduction to Solar Systems Astronomy,https://courses.edx.org/certificates/user/2730727/course/course-v1:ASUx+AST111+3T2015,edX,Aug 2015,,
"IEEE ATG1.x From Goddard to Apollo: The History of Rockets, Part 1",https://courses.edx.org/certificates/user/2730727/course/course-v1:IEEEx+ATG1.x+2015_T3,edX,Nov 2015,,
MITx 8.421.1x: Atomic and Optical Physics I part 1: Resonance,https://courses.edx.org/certificates/user/2730727/course/course-v1:MITx+8.421.1x+3T2015,edX,Sep 2015,,
MITx 8.421.2x: Atomic and Optical Physics I part 2: Atomic structure and atoms in external fields,https://courses.edx.org/certificates/user/2730727/course/course-v1:MITx+8.421.2x+3T2015,edX,Oct 2015,,
MITx 8.421.3x Atomic and Optical Physics I part 3: Atom-Light Interactions 1 - Matrix elements and quantized field,https://courses.edx.org/certificates/6d2b6f95ead74d2896f93f8a97085915,edX,Nov 2015,,
MITx 8.421.4x Atomic and Optical Physics I part 4: Atom-Light Interactions 2 - Line broadening and two-photon transitions,https://courses.edx.org/certificates/3258b2945663488eba2e3103897d8239,edX,Dec 2015,,
MITx 8.421.5x Atomic and Optical Physics I part 5: Coherence,https://courses.edx.org/certificates/6501c71835674502a3704fd3e31439e1,edX,,,
RiceX -  BIOC300.2x: DNA: Biology's Genetic Code,,edX,,,
MITx 6.041x: Introduction to Probability - the science of uncertainty,,edX,,,
MITx 15.071x: The Analytics Edge,,edX,,,
UTokyo003x: Quantum Mechanics of Molecular Structures,,edX,Apr 2016,Nov 2016,
MITx 6.008.1x: Computational Probability and Inference,,edX,Sep 2016,Nov 2016,
HarvardX PH525.1x: Statistics and R,,edX,,,
HarvardX PH525.2x: Introduction to Linear Models and Matrix Algebra,,edX,,,
HarvardX PH525.3x: Statistical Inference and Modeling for High Throughput Experiments,,edX,,,
HarvardX PH525.4x: High dimensional data analysis,,edX,,,
HarvardX PH525.5x: Introduction to Bioconductor: Annotation and Analysis of Genomes,,edX,,,
HarvardX PH525.6x: High Performance Computing for Reproducible Genomes,,edX,,,
HarvardX PH525.7x: Case Studies in Functional Genomics,,edX,,,
KYOTOUx 0005x: Introduction to Statistical Methods of Gene Mapping,,edX,,,
MITx 7.28.1x: Molecular Biology - DNA Replication and Repair,,edX,Jul 2016,Aug 2016,
MITx 7.28.2x: Molecular Biology - Transcription and Transposition,,edX,Aug 2016,Sep 2016,
HarvardX PH526x Using Python for Research,,edX,Nov 2016,Dec 2016,
CaltechDelftX QuCryptox Quantum cryptography,,edX,Sep 2016,Dec 2016,
DukeExtend: Introduction to Astronomy,,Duke University,,,
"MITx 8.370.1x Quantum Information Science I, part 1",,edX,Jan 2018,Feb 2018,
"MITx 8.370.2x Quantum Information Science I, Part 2",,edX,Feb 2018,Mar 2018,
"MITx 8.370.3x Quantum Information Science I, Part 3",,edX,Mar 2018,Apr 2018,
BerkeleyX 8.1X Foundations of Data Science: Computational thinking in Python,,edX,Apr 2018,May 2018,
BerkeleyX 8.2X Foundations of Data Science: Inferential thinking by resampling,,,May 2018,Jun 2018,
HarvardX PH125.1x - Data science R basics,,edX,,,
HarvardX -  PH526x Using Python for research,,edX,,,
HarvardX -  PH525.7x Case studies in functional genomics,,edX,,,
